Periodo;Nivel General y Aperturas;Indice
"periodo";"nivel_general_aperturas";"indice_icc"
"1/1/2025";"6_instalacion_de_gas";1167,11897951714
"1/1/2025";"t_instalacion_electrica";1019,04016003623
"1/1/2025";"b_carpinteria_metalica_y_herreria";961,462788084013
"1/1/2025";"n_carpinteria_de_madera";1283,00925217087
"1/1/2025";"io_ascensores";1640,59805214568
"1/1/2025";"ii_vidrios";1318,35489905682
"1/1/2025";"i2_pintura";1077,97304362981
"1/1/2025";"ie_otros_trabajos_y_gastos";1421,13077698143
"1/2/2025";"i_movimiento_de_tierras";1226,61578083664
"1/2/2025";"2_estructura";1136,23945967509
"1/2/2025";"e_albanileria";1191,56883757282
"1/2/2025";"4_yeseria";1199,5778971604
"1/2/2025";"m_instalacion_sanitaria_y_contraincendio";1289,64447862654
"1/2/2025";"6_instalacion_de_gas";1179,73403462159
"1/2/2025";"t_instalacion_electrica";1021,78040311014
"1/2/2025";"b_carpinteria_metalica_y_herreria";961,001561747405
"1/2/2025";"n_carpinteria_de_madera";1301,01817625057
"1/2/2025";"io_ascensores";1650,78877954753
"1/2/2025";"ii_vidrios";1332,85719853457
"1/2/2025";"i2_pintura";1080,41886945913
"1/2/2025";"ie_otros_trabajos_y_gastos";1445,42974468166
"1/3/2025";"i_movimiento_de_tierras";1243,69251254139
"1/3/2025";"2_estructura";1131,48135411365
"1/3/2025";"e_albanileria";1186,2840521791
"1/3/2025";"4_yeseria";1232,56685754767
"1/3/2025";"m_instalacion_sanitaria_y_contraincendio";1303,27651938042
"1/3/2025";"6_instalacion_de_gas";1184,19796933671
"1/3/2025";"t_instalacion_electrica";1050,06793991092
